date|time|description|vendor|amount
2022-03-20|18:59:38|Fuel|Netflix|-225.97
2022-03-22|18:07:11|Monthly Subscription|Shell|-40.71
2022-03-24|03:24:47|Commute|Best Buy|-189.35
2022-03-24|09:00:18|Office Supplies|Netflix|-229.85
2022-03-26|09:01:22|Office Supplies|Shell|-443.4
2022-03-26|09:06:33|Monthly Subscription|Walmart|-235.02
2022-03-27|10:28:26|Groceries|McDonalds|-97.19
2022-03-28|03:49:49|Coffee|Starbucks|-70.99
2022-03-28|22:21:32|Hardware Upgrade|Steam|-136.94
2022-03-29|07:03:16|Hardware Upgrade|Adobe|-413.24
2022-03-29|07:19:41|Office Supplies|Amazon|-17.58
2022-04-01|00:55:25|Invoice Paid|Vertex Logistics|1875.53
2022-04-03|22:47:25|Hardware Upgrade|Netflix|-197.06
2022-04-04|22:55:06|Monthly Subscription|Adobe|-393.92
2022-04-05|17:03:35|Coffee|Steam|-134.75
2022-04-05|21:49:22|Software License|McDonalds|-478.24
2022-04-10|02:37:30|Fuel|Steam|-313.56
2022-04-10|13:06:50|Investment Return|Vertex Logistics|3621.52
2022-04-11|18:58:55|Contract Milestone|Bonus Payout|4070.13
2022-04-13|13:21:26|Commute|Netflix|-293.23
2022-04-13|20:34:30|Hardware Upgrade|Shell|-28.3
2022-04-15|16:27:43|Cloud Storage|Apple|-308.75
2022-04-15|22:47:28|Quarterly Bonus|Freelance Work|1106.48
2022-04-17|08:15:59|Contract Milestone|Tax Refund|2925.53
2022-04-20|08:11:48|Cloud Storage|Starbucks|-485.38
2022-04-20|11:01:50|Fuel|Amazon|-87.5
2022-04-20|22:35:51|Investment Return|Tax Refund|3345.94
2022-04-22|08:24:48|Quarterly Bonus|Interest Credit|3770.25
2022-04-24|20:51:36|Invoice Paid|Tax Refund|3829.76
2022-04-25|08:22:33|Fuel|Adobe|-432.99
2022-04-25|13:42:25|Cloud Storage|Best Buy|-417.44
2022-04-26|20:26:35|Groceries|Best Buy|-297.29
2022-04-27|05:13:02|Groceries|McDonalds|-98.91
2022-04-27|13:31:14|Cash Deposit|Tax Refund|3322.81
2022-04-29|12:06:51|Monthly Subscription|Steam|-145.08
2022-04-29|19:58:35|Coffee|Uber|-142.9
2022-04-30|03:40:53|Fuel|Apple|-104.2
2022-05-04|08:59:39|Monthly Subscription|Shell|-32.41
2022-05-04|10:47:10|Coffee|Apple|-73.8
2022-05-09|01:23:30|Dinner|Home Depot|-127.65
2022-05-15|04:35:20|Commute|Home Depot|-145.43
2022-05-15|15:44:14|Reimbursement|Rental Income|4310.07
2022-05-16|19:25:30|Invoice Paid|Tax Refund|2432.16
2022-05-18|19:08:35|Fuel|Starbucks|-445.99
2022-05-19|05:46:16|Software License|Steam|-450.32
2022-05-21|01:20:45|Monthly Subscription|Uber|-412.46
2022-05-21|08:46:54|Dinner|Amazon|-29.54
2022-05-21|09:26:50|Contract Milestone|Standard Payroll|4803.73
2022-05-25|13:24:54|Cloud Storage|Starbucks|-60.22
2022-06-02|15:28:17|Reimbursement|Bonus Payout|1416.93
2022-06-02|15:37:45|Monthly Subscription|Uber|-421.91
2022-06-03|09:07:05|Coffee|Adobe|-36.94
2022-06-03|17:13:53|Office Supplies|Netflix|-181.52
2022-06-07|08:13:27|Commute|Steam|-427.81
2022-06-07|12:30:17|Office Supplies|Adobe|-23.74
2022-06-07|19:22:12|Groceries|Netflix|-267.71
2022-06-08|04:38:55|Fuel|Walmart|-242.52
2022-06-08|12:20:00|Investment Return|Freelance Work|1162.42
2022-06-10|03:27:37|Groceries|Costco|-45.07
2022-06-13|17:47:18|Fuel|Costco|-9.78
2022-06-14|00:26:14|Investment Return|Interest Credit|1416.79
2022-06-18|14:20:01|Dinner|Steam|-349.51
2022-06-20|02:01:54|Invoice Paid|Rental Income|2616.24
2022-06-21|07:27:36|Invoice Paid|Vertex Logistics|3543.6
2022-06-21|08:04:05|Quarterly Bonus|Vertex Logistics|2197.7
2022-06-24|13:03:43|Software License|Steam|-253.26
2022-06-24|17:39:53|Office Supplies|Best Buy|-407.75
2022-06-27|23:53:09|Coffee|Costco|-181.51
2022-06-28|12:37:11|Cloud Storage|Adobe|-144.0
2022-06-30|01:49:04|Dinner|Uber|-441.67
2022-06-30|12:16:08|Commute|Best Buy|-338.91
2022-07-08|11:25:36|Hardware Upgrade|Starbucks|-124.09
2022-07-11|01:36:18|Quarterly Bonus|Rental Income|721.52
2022-07-11|06:24:35|Monthly Subscription|Home Depot|-449.56
2022-07-11|09:06:09|Monthly Subscription|Walmart|-147.55
2022-07-12|20:51:06|Software License|Adobe|-144.61
2022-07-16|11:43:28|Cloud Storage|Costco|-411.36
2022-07-21|14:40:33|Groceries|Amazon|-260.91
2022-07-23|05:18:59|Bi-weekly Salary|Tax Refund|1605.97
2022-07-27|01:18:30|Bi-weekly Salary|Dividend Payment|1159.78
2022-07-27|22:42:08|Cloud Storage|McDonalds|-170.52
2022-07-28|14:06:57|Reimbursement|Rental Income|917.18
2022-07-28|14:30:16|Coffee|Shell|-430.08
2022-07-28|22:24:55|Coffee|Home Depot|-269.17
2022-07-29|00:22:10|Invoice Paid|Standard Payroll|4697.6
2022-07-29|17:20:08|Hardware Upgrade|Starbucks|-88.03
2022-07-31|03:19:05|Invoice Paid|Interest Credit|1458.06
2022-07-31|15:18:38|Hardware Upgrade|McDonalds|-209.89
2022-08-01|01:52:43|Monthly Subscription|Uber|-105.79
2022-08-04|05:57:35|Reimbursement|Vertex Logistics|4055.1
2022-08-04|13:51:33|Software License|Uber|-148.29
2022-08-04|15:08:01|Cloud Storage|Home Depot|-386.6
2022-08-07|01:14:12|Cash Deposit|Tax Refund|521.68
2022-08-10|19:04:57|Groceries|Walmart|-70.83
2022-08-11|08:20:02|Cloud Storage|Best Buy|-162.82
2022-08-14|03:44:32|Software License|Apple|-135.6
2022-08-18|14:18:00|Cash Deposit|Tax Refund|2855.19
2022-08-19|20:55:09|Groceries|Netflix|-479.57
2022-08-23|21:05:11|Groceries|McDonalds|-234.62
2022-08-26|03:57:25|Dinner|Amazon|-322.9
2022-08-27|03:08:56|Commute|Best Buy|-96.7
2022-08-27|15:25:16|Dinner|Netflix|-477.29
2022-08-27|15:28:22|Invoice Paid|Bonus Payout|3052.65
2022-08-28|11:52:11|Commute|Home Depot|-207.02
2022-08-28|14:12:18|Dinner|Starbucks|-439.85
2022-08-30|01:43:36|Groceries|Steam|-247.59
2022-09-03|23:31:04|Investment Return|Rental Income|2986.43
2022-09-04|02:22:33|Office Supplies|Shell|-318.67
2022-09-04|22:26:58|Commute|Target|-406.06
2022-09-06|20:48:34|Software License|Home Depot|-60.52
2022-09-08|18:42:08|Commute|Walmart|-336.58
2022-09-09|22:11:49|Monthly Subscription|Adobe|-33.78
2022-09-10|08:27:23|Groceries|Home Depot|-29.06
2022-09-11|11:25:24|Monthly Subscription|Steam|-164.44
2022-09-11|12:17:09|Monthly Subscription|Starbucks|-125.78
2022-09-13|03:48:54|Dinner|McDonalds|-99.18
2022-09-13|09:22:34|Coffee|Target|-243.26
2022-09-14|12:18:06|Bi-weekly Salary|Tax Refund|2613.15
2022-09-15|00:59:09|Contract Milestone|Rental Income|3696.63
2022-09-15|23:12:29|Cloud Storage|Shell|-248.81
2022-09-20|02:28:59|Investment Return|Rental Income|4075.82
2022-09-20|08:36:03|Software License|Costco|-316.56
2022-09-22|00:00:45|Groceries|Shell|-211.27
2022-09-23|22:59:38|Bi-weekly Salary|Interest Credit|869.73
2022-09-24|18:53:08|Office Supplies|Walmart|-62.43
2022-09-25|03:13:07|Commute|Best Buy|-24.32
2022-09-26|16:38:03|Invoice Paid|Interest Credit|2370.81
2022-09-27|22:43:21|Commute|Adobe|-369.74
2022-09-28|21:47:44|Groceries|Walmart|-357.24
2022-09-30|00:16:02|Software License|Walmart|-373.62
2022-10-01|15:43:50|Cash Deposit|Rental Income|787.23
2022-10-01|20:35:08|Hardware Upgrade|Costco|-456.42
2022-10-03|02:01:18|Cash Deposit|Dividend Payment|4070.73
2022-10-03|08:06:06|Dinner|Target|-377.47
2022-10-03|14:44:51|Commute|Apple|-470.66
2022-10-07|15:07:19|Software License|Steam|-343.31
2022-10-10|08:36:03|Dinner|Walmart|-191.14
2022-10-10|15:16:46|Investment Return|Interest Credit|1405.6
2022-10-12|21:27:44|Quarterly Bonus|Interest Credit|1479.83
2022-10-17|05:45:57|Dinner|McDonalds|-423.99
2022-10-18|23:11:10|Dinner|Walmart|-208.12
2022-10-23|17:37:32|Quarterly Bonus|Tax Refund|4515.83
2022-10-24|18:32:36|Hardware Upgrade|Target|-90.9
2022-10-25|19:22:38|Monthly Subscription|Adobe|-134.11
2022-10-26|17:37:30|Bi-weekly Salary|Freelance Work|3495.66
2022-10-27|00:02:26|Groceries|Target|-156.79
2022-10-27|16:25:34|Cloud Storage|Starbucks|-267.13
2022-11-01|05:34:13|Office Supplies|Amazon|-166.77
2022-11-03|14:54:21|Invoice Paid|Bonus Payout|4616.33
2022-11-04|01:59:31|Contract Milestone|Freelance Work|4536.35
2022-11-05|15:35:38|Groceries|Apple|-131.67
2022-11-07|19:27:21|Invoice Paid|Interest Credit|4784.47
2022-11-08|10:38:48|Invoice Paid|Vertex Logistics|2981.59
2022-11-08|14:03:09|Office Supplies|McDonalds|-291.19
2022-11-08|19:48:30|Cloud Storage|Apple|-137.4
2022-11-10|10:02:43|Cash Deposit|Bonus Payout|4777.66
2022-11-11|16:03:14|Office Supplies|McDonalds|-261.88
2022-11-11|23:49:00|Dinner|Uber|-147.09
2022-11-12|04:18:32|Hardware Upgrade|Adobe|-128.6
2022-11-13|11:18:11|Groceries|Netflix|-209.59
2022-11-16|16:03:04|Hardware Upgrade|Home Depot|-237.2
2022-11-20|22:47:48|Fuel|Amazon|-483.86
2022-11-22|10:09:17|Hardware Upgrade|Home Depot|-261.54
2022-11-22|18:49:22|Contract Milestone|Interest Credit|1115.57
2022-11-23|11:26:17|Hardware Upgrade|McDonalds|-255.12
2022-11-26|04:54:15|Monthly Subscription|Apple|-106.89
2022-11-27|21:11:59|Software License|Starbucks|-224.58
2022-11-29|04:30:43|Monthly Subscription|Amazon|-331.73
2022-11-30|19:54:45|Groceries|Walmart|-218.39
2022-12-02|18:52:20|Cloud Storage|Steam|-241.59
2022-12-03|06:37:55|Cash Deposit|Freelance Work|1141.21
2022-12-04|07:33:37|Monthly Subscription|Steam|-436.65
2022-12-05|19:42:28|Dinner|Netflix|-111.38
2022-12-08|23:30:45|Cash Deposit|Tax Refund|4819.21
2022-12-09|13:05:59|Cloud Storage|Home Depot|-239.74
2022-12-13|02:26:48|Fuel|McDonalds|-93.97
2022-12-14|04:03:24|Coffee|Uber|-242.08
2022-12-14|20:03:52|Monthly Subscription|Adobe|-191.24
2022-12-16|08:30:02|Office Supplies|Netflix|-333.08
2022-12-25|16:40:01|Office Supplies|McDonalds|-297.59
2022-12-26|11:34:13|Cash Deposit|Tax Refund|3670.36
2022-12-26|21:34:55|Fuel|Shell|-397.96
2022-12-27|02:18:51|Fuel|Costco|-120.48
2022-12-28|11:31:26|Dinner|Shell|-326.97
2022-12-29|05:43:11|Monthly Subscription|Best Buy|-107.5
2022-12-29|06:19:48|Commute|Best Buy|-399.83
2022-12-31|04:37:51|Fuel|Best Buy|-171.74
2022-12-31|08:28:48|Bi-weekly Salary|Freelance Work|1290.9
2023-01-02|22:30:28|Reimbursement|Bonus Payout|1092.96
2023-01-05|08:01:13|Bi-weekly Salary|Interest Credit|2654.69
2023-01-06|10:35:14|Bi-weekly Salary|Rental Income|804.85
2023-01-06|10:57:13|Software License|Starbucks|-450.58
2023-01-07|10:32:12|Cloud Storage|Best Buy|-71.23
2023-01-09|00:21:58|Groceries|Apple|-227.69
2023-01-13|11:52:43|Hardware Upgrade|Target|-159.86
2023-01-14|16:15:34|Office Supplies|Uber|-182.48
2023-01-15|16:08:02|Software License|Shell|-403.15
2023-01-16|18:36:05|Invoice Paid|Vertex Logistics|1387.6
2023-01-17|01:33:02|Reimbursement|Standard Payroll|1225.82
2023-01-18|06:12:33|Investment Return|Standard Payroll|4374.01
2023-01-18|20:43:52|Bi-weekly Salary|Vertex Logistics|2137.09
2023-01-19|11:21:17|Groceries|Shell|-75.63
2023-01-20|07:10:32|Contract Milestone|Freelance Work|2579.81
2023-01-21|04:46:32|Dinner|Apple|-39.74
2023-01-21|07:39:01|Cloud Storage|Uber|-479.08
2023-01-22|02:32:49|Fuel|Walmart|-146.66
2023-01-22|06:31:47|Dinner|Apple|-366.79
2023-01-22|08:17:08|Office Supplies|Adobe|-209.44
2023-01-23|08:02:37|Monthly Subscription|Costco|-359.39
2023-01-23|21:24:45|Software License|Apple|-458.15
2023-01-26|04:59:18|Cloud Storage|McDonalds|-7.81
2023-01-29|18:33:16|Reimbursement|Standard Payroll|2027.69
2023-01-30|16:28:50|Coffee|McDonalds|-452.21
2023-02-01|13:26:15|Quarterly Bonus|Tax Refund|3291.73
2023-02-02|19:06:06|Coffee|Costco|-374.76
2023-02-04|21:54:46|Cash Deposit|Interest Credit|2921.21
2023-02-05|11:27:14|Hardware Upgrade|Netflix|-378.06
2023-02-07|10:01:22|Hardware Upgrade|Netflix|-371.37
2023-02-07|14:53:27|Software License|Steam|-480.07
2023-02-08|14:23:06|Commute|McDonalds|-335.31
2023-02-10|21:15:20|Monthly Subscription|Amazon|-150.26
2023-02-11|23:36:37|Cloud Storage|Uber|-261.48
2023-02-14|08:32:35|Monthly Subscription|Shell|-429.24
2023-02-15|19:58:21|Investment Return|Tax Refund|4131.59
2023-02-16|08:01:49|Software License|Shell|-323.05
2023-02-19|07:55:49|Bi-weekly Salary|Bonus Payout|3035.13
2023-02-28|21:18:34|Groceries|Adobe|-79.84
2023-03-03|02:29:27|Quarterly Bonus|Dividend Payment|826.75
2023-03-05|22:18:20|Reimbursement|Vertex Logistics|1896.87
2023-03-06|23:45:38|Quarterly Bonus|Standard Payroll|3128.78
2023-03-07|09:24:00|Groceries|Shell|-252.1
2023-03-09|02:41:23|Dinner|Walmart|-74.08
2023-03-09|07:46:14|Commute|Costco|-400.8
2023-03-15|02:39:49|Groceries|Starbucks|-47.61
2023-03-17|22:05:47|Dinner|Walmart|-273.3
2023-03-19|01:12:30|Reimbursement|Bonus Payout|2873.82
2023-03-20|17:20:54|Reimbursement|Bonus Payout|3356.45
2023-03-20|23:08:56|Invoice Paid|Freelance Work|2172.99
2023-03-29|10:25:08|Quarterly Bonus|Interest Credit|2297.94
2023-03-30|12:12:08|Quarterly Bonus|Standard Payroll|824.5
2023-03-31|19:37:24|Groceries|Costco|-367.81
2023-03-31|20:43:31|Groceries|Target|-100.01
2023-04-01|23:24:48|Bi-weekly Salary|Standard Payroll|942.73
2023-04-02|19:58:00|Groceries|Best Buy|-219.1
2023-04-05|19:30:40|Hardware Upgrade|Amazon|-245.32
2023-04-06|08:04:26|Dinner|Costco|-376.69
2023-04-06|14:26:43|Commute|Amazon|-347.47
2023-04-09|05:26:37|Groceries|Apple|-295.24
2023-04-09|07:56:46|Coffee|Target|-420.32
2023-04-11|08:26:50|Monthly Subscription|Apple|-290.53
2023-04-12|19:41:58|Bi-weekly Salary|Dividend Payment|3418.34
2023-04-14|05:37:06|Groceries|Apple|-418.42
2023-04-14|21:36:43|Bi-weekly Salary|Interest Credit|1482.73
2023-04-15|10:27:13|Office Supplies|Walmart|-364.39
2023-04-17|21:37:20|Reimbursement|Rental Income|2280.87
2023-04-18|22:57:05|Dinner|Target|-424.45
2023-04-21|10:42:51|Office Supplies|Adobe|-357.93
2023-04-23|00:13:03|Groceries|Costco|-461.84
2023-04-24|10:12:03|Contract Milestone|Bonus Payout|1480.73
2023-04-24|14:37:11|Contract Milestone|Dividend Payment|3027.07
2023-04-29|15:09:48|Dinner|Amazon|-187.81
2023-05-02|02:26:57|Cash Deposit|Dividend Payment|3987.43
2023-05-03|11:39:50|Software License|Netflix|-452.53
2023-05-04|16:40:35|Fuel|Home Depot|-489.87
2023-05-05|08:49:23|Monthly Subscription|Uber|-48.42
2023-05-12|02:00:06|Cloud Storage|Best Buy|-36.19
2023-05-13|01:57:36|Hardware Upgrade|Target|-17.89
2023-05-13|04:05:57|Software License|Target|-323.36
2023-05-13|09:25:53|Quarterly Bonus|Rental Income|4321.94
2023-05-14|01:14:10|Dinner|Costco|-332.67
2023-05-22|09:42:57|Hardware Upgrade|Shell|-344.4
2023-05-23|23:57:02|Fuel|Home Depot|-125.27
2023-05-25|09:51:56|Bi-weekly Salary|Freelance Work|561.67
2023-05-26|03:31:11|Dinner|Adobe|-242.12
2023-05-27|02:15:52|Monthly Subscription|Steam|-208.06
2023-05-28|07:18:18|Hardware Upgrade|Apple|-439.24
2023-05-30|04:25:50|Fuel|Netflix|-324.36
2023-06-02|10:41:58|Hardware Upgrade|Netflix|-237.83
2023-06-02|15:53:55|Coffee|Home Depot|-410.01
2023-06-05|22:00:40|Bi-weekly Salary|Tax Refund|4168.2
2023-06-07|01:01:42|Monthly Subscription|Shell|-378.4
2023-06-09|07:47:59|Dinner|Adobe|-483.56
2023-06-10|01:12:11|Groceries|Adobe|-401.83
2023-06-11|16:00:03|Dinner|Amazon|-279.41
2023-06-12|15:06:10|Fuel|Adobe|-125.69
2023-06-13|05:01:30|Invoice Paid|Tax Refund|855.14
2023-06-13|07:00:47|Groceries|Best Buy|-151.12
2023-06-13|15:12:39|Cloud Storage|Netflix|-283.03
2023-06-16|14:18:24|Coffee|Apple|-338.21
2023-06-18|02:28:52|Groceries|Apple|-88.24
2023-06-19|02:52:14|Monthly Subscription|Walmart|-413.21
2023-06-19|08:59:53|Groceries|Netflix|-452.55
2023-06-19|15:48:57|Dinner|Adobe|-423.98
2023-06-20|00:06:51|Fuel|McDonalds|-203.09
2023-06-20|00:25:53|Cloud Storage|Home Depot|-279.91
2023-06-21|08:48:59|Software License|McDonalds|-268.53
2023-06-24|02:47:20|Commute|Steam|-77.37
2023-06-25|19:09:04|Coffee|Home Depot|-86.73
2023-06-26|14:37:30|Dinner|Netflix|-217.65
2023-06-28|11:27:11|Coffee|Home Depot|-446.35
2023-06-28|23:12:22|Investment Return|Interest Credit|4429.44
2023-06-30|10:17:25|Software License|Best Buy|-318.02
2023-06-30|17:06:26|Dinner|Netflix|-30.21
2023-07-01|20:54:50|Commute|Netflix|-396.78
2023-07-06|15:29:51|Contract Milestone|Tax Refund|2788.4
2023-07-08|00:26:13|Quarterly Bonus|Rental Income|832.58
2023-07-08|08:41:24|Groceries|Steam|-436.7
2023-07-11|00:34:06|Hardware Upgrade|Best Buy|-357.76
2023-07-14|02:47:15|Cash Deposit|Interest Credit|2727.37
2023-07-15|05:56:19|Hardware Upgrade|Adobe|-52.97
2023-07-18|19:21:21|Monthly Subscription|Walmart|-426.95
2023-07-20|08:53:47|Fuel|Best Buy|-425.41
2023-07-21|05:18:45|Monthly Subscription|McDonalds|-330.59
2023-07-23|05:58:13|Coffee|Best Buy|-50.37
2023-07-26|07:10:41|Contract Milestone|Dividend Payment|1334.66
2023-07-26|18:13:39|Dinner|Steam|-187.45
2023-07-31|06:27:16|Coffee|Starbucks|-129.63
2023-07-31|09:47:25|Fuel|Steam|-225.26
2023-08-01|04:29:54|Commute|Target|-305.35
2023-08-01|22:50:39|Hardware Upgrade|Uber|-455.19
2023-08-02|09:39:41|Quarterly Bonus|Bonus Payout|2453.49
2023-08-02|18:18:31|Commute|Adobe|-77.82
2023-08-04|01:39:21|Fuel|Steam|-342.06
2023-08-07|19:35:19|Commute|Steam|-357.07
2023-08-08|06:44:44|Monthly Subscription|Adobe|-309.11
2023-08-08|13:17:29|Groceries|Costco|-369.44
2023-08-08|13:30:40|Quarterly Bonus|Tax Refund|1020.54
2023-08-11|09:35:26|Fuel|Amazon|-454.74
2023-08-17|16:45:14|Reimbursement|Freelance Work|1987.07
2023-08-17|22:50:07|Groceries|Costco|-118.52
2023-08-17|23:07:57|Groceries|Walmart|-130.23
2023-08-20|04:21:07|Investment Return|Vertex Logistics|527.44
2023-08-22|01:48:31|Invoice Paid|Bonus Payout|937.91
2023-08-22|10:05:44|Coffee|Costco|-461.36
2023-08-23|14:11:03|Fuel|Netflix|-251.04
2023-08-24|01:05:54|Commute|Adobe|-281.6
2023-08-24|06:14:31|Contract Milestone|Bonus Payout|4821.51
2023-08-27|06:22:04|Invoice Paid|Interest Credit|4282.31
2023-08-27|09:16:45|Investment Return|Tax Refund|4869.54
2023-08-28|09:13:36|Reimbursement|Standard Payroll|4385.31
2023-09-04|06:41:44|Cash Deposit|Dividend Payment|1537.9
2023-09-05|09:20:43|Investment Return|Standard Payroll|4641.92
2023-09-05|12:06:57|Hardware Upgrade|Starbucks|-19.62
2023-09-05|19:49:10|Fuel|Best Buy|-403.42
2023-09-06|20:16:38|Fuel|Target|-222.42
2023-09-07|13:30:42|Coffee|Apple|-41.84
2023-09-07|13:43:37|Cash Deposit|Interest Credit|2180.3
2023-09-08|11:49:11|Reimbursement|Rental Income|2957.11
2023-09-10|03:06:26|Commute|Shell|-206.87
2023-09-11|00:08:23|Cash Deposit|Dividend Payment|1319.12
2023-09-12|23:54:06|Monthly Subscription|Best Buy|-22.29
2023-09-13|23:07:11|Fuel|Apple|-66.35
2023-09-19|10:33:56|Cloud Storage|Best Buy|-279.01
2023-09-28|08:07:55|Hardware Upgrade|Target|-332.54
2023-09-29|07:57:34|Cloud Storage|Best Buy|-55.15
2023-09-30|12:41:35|Commute|Netflix|-367.3
2023-10-01|19:32:29|Cash Deposit|Rental Income|4282.89
2023-10-02|13:38:23|Fuel|Starbucks|-202.88
2023-10-03|06:52:01|Bi-weekly Salary|Standard Payroll|4876.89
2023-10-10|03:21:21|Contract Milestone|Freelance Work|2451.78
2023-10-10|12:08:03|Cash Deposit|Rental Income|3505.25
2023-10-11|09:35:13|Monthly Subscription|Starbucks|-100.41
2023-10-13|09:57:16|Fuel|Amazon|-364.8
2023-10-18|02:31:28|Groceries|Steam|-352.51
2023-10-20|10:41:33|Dinner|Costco|-376.47
2023-10-21|14:38:06|Quarterly Bonus|Tax Refund|1023.86
2023-10-21|19:31:28|Hardware Upgrade|Walmart|-195.27
2023-10-23|02:44:55|Hardware Upgrade|Starbucks|-69.52
2023-10-25|17:30:18|Cloud Storage|McDonalds|-174.27
2023-10-28|09:52:14|Invoice Paid|Rental Income|1171.32
2023-10-28|15:01:21|Fuel|Amazon|-127.86
2023-10-28|15:06:54|Groceries|Uber|-380.13
2023-10-29|12:07:44|Quarterly Bonus|Dividend Payment|4948.5
2023-11-01|06:21:24|Hardware Upgrade|Uber|-304.2
2023-11-01|12:17:03|Software License|Adobe|-245.22
2023-11-02|23:22:03|Coffee|Apple|-9.83
2023-11-05|01:59:54|Hardware Upgrade|Walmart|-155.96
2023-11-05|04:49:23|Hardware Upgrade|McDonalds|-477.39
2023-11-05|12:38:47|Software License|McDonalds|-492.65
2023-11-07|13:28:31|Fuel|Target|-496.44
2023-11-08|09:14:40|Dinner|Starbucks|-217.83
2023-11-09|15:35:43|Invoice Paid|Bonus Payout|3393.14
2023-11-11|19:02:24|Groceries|Uber|-76.4
2023-11-13|15:37:28|Coffee|Home Depot|-460.6
2023-11-13|23:38:52|Dinner|Uber|-230.89
2023-11-21|21:23:51|Dinner|Steam|-381.03
2023-11-24|07:08:17|Reimbursement|Tax Refund|2617.1
2023-11-25|09:34:42|Fuel|Best Buy|-461.27
2023-11-25|11:49:55|Software License|Home Depot|-22.22
2023-11-26|14:02:36|Bi-weekly Salary|Freelance Work|1127.09
2023-11-26|23:00:16|Groceries|Netflix|-232.48
2023-11-28|10:57:38|Groceries|Best Buy|-24.59
2023-11-30|06:13:21|Fuel|Uber|-452.83
2023-12-04|06:40:18|Bi-weekly Salary|Rental Income|2214.0
2023-12-04|12:46:10|Monthly Subscription|Starbucks|-429.41
2023-12-05|20:50:36|Software License|Apple|-268.91
2023-12-06|02:43:57|Groceries|Starbucks|-54.99
2023-12-06|19:54:16|Monthly Subscription|Target|-210.94
2023-12-12|02:05:06|Office Supplies|Adobe|-24.27
2023-12-14|03:31:17|Fuel|Apple|-187.79
2023-12-15|07:54:47|Dinner|Target|-219.54
2023-12-16|14:11:40|Office Supplies|Target|-476.17
2023-12-17|03:31:41|Quarterly Bonus|Standard Payroll|2945.83
2023-12-25|00:48:37|Office Supplies|McDonalds|-224.75
2023-12-25|03:55:00|Commute|Best Buy|-259.46
2023-12-25|23:14:01|Cash Deposit|Freelance Work|840.69
2023-12-26|15:59:31|Groceries|Shell|-111.87
2023-12-27|18:33:26|Groceries|Starbucks|-416.07
2023-12-30|18:16:30|Groceries|Costco|-392.2
2024-01-03|00:06:21|Monthly Subscription|Shell|-248.92
2024-01-04|03:10:36|Cloud Storage|Steam|-101.06
